contractSymbol,lastTradeDate,strike,lastPrice,bid,ask,change,percentChange,volume,openInterest,impliedVolatility,inTheMoney,contractSize,currency
AAPL260626C00110000,2026-06-01 13:30:14+00:00,110.0,199.64,179.95,183.75,0.0,0.0,3.0,3,1.9609376953125,True,REGULAR,USD
AAPL260626C00185000,2026-06-09 15:40:32+00:00,185.0,107.25,105.25,108.9,0.0,0.0,1.0,1,1.0712937060546879,True,REGULAR,USD
AAPL260626C00190000,2026-05-27 14:15:41+00:00,190.0,123.26,100.65,103.9,0.0,0.0,,4,1.076176494140625,True,REGULAR,USD
AAPL260626C00195000,2026-06-04 19:38:28+00:00,195.0,116.84,95.65,98.95,0.0,0.0,1.0,2,1.0258837768554687,True,REGULAR,USD
AAPL260626C00200000,2026-06-04 19:38:28+00:00,200.0,112.14,90.75,93.95,0.0,0.0,,1,0.98242205078125,True,REGULAR,USD
AAPL260626C00205000,2026-06-08 17:38:35+00:00,205.0,107.43,85.7,88.95,0.0,0.0,1.0,1,0.92187578125,True,REGULAR,USD
AAPL260626C00210000,2026-05-21 13:30:04+00:00,210.0,81.3,81.45,83.95,-10.899994,-11.82212,2.0,1,0.9409185595703125,True,REGULAR,USD
AAPL260626C00215000,2026-06-10 18:07:42+00:00,215.0,79.67,76.5,78.45,-9.959999,-11.1123495,9.0,16,0.8452163916015624,True,REGULAR,USD
AAPL260626C00220000,2026-06-02 15:57:40+00:00,220.0,93.55,70.65,74.05,0.0,0.0,20.0,56,0.7685570019531252,True,REGULAR,USD
AAPL260626C00225000,2026-05-29 14:10:39+00:00,225.0,88.9,65.8,68.55,0.0,0.0,1.0,2,0.6826203613281252,True,REGULAR,USD
AAPL260626C00230000,2026-06-02 18:56:39+00:00,230.0,84.92,61.55,64.05,0.0,0.0,1.0,8,0.7358424853515625,True,REGULAR,USD
AAPL260626C00235000,2026-06-09 16:04:20+00:00,235.0,56.93,55.75,59.15,0.0,0.0,1.0,11,0.6325720336914062,True,REGULAR,USD
AAPL260626C00240000,2026-06-08 19:33:04+00:00,240.0,63.13,50.9,54.2,0.0,0.0,49.0,57,0.5964395825195312,True,REGULAR,USD
AAPL260626C00245000,2026-06-08 19:33:04+00:00,245.0,58.17,46.0,49.25,0.0,0.0,54.0,30,0.5551802294921876,True,REGULAR,USD
AAPL260626C00250000,2026-06-10 18:08:12+00:00,250.0,45.0,41.9,44.05,3.2999992,7.9136677,2.0,173,0.5424850439453126,True,REGULAR,USD
AAPL260626C00255000,2026-06-10 19:21:00+00:00,255.0,38.46,37.25,38.75,1.0099983,2.6969247,58.0,226,0.5561567822265626,True,REGULAR,USD
AAPL260626C00260000,2026-06-10 19:21:00+00:00,260.0,33.57,32.4,33.45,1.7700005,5.566039,58.0,294,0.47522497436523436,True,REGULAR,USD
AAPL260626C00265000,2026-06-10 16:31:38+00:00,265.0,27.82,27.35,28.45,0.61999893,2.2794077,18.0,576,0.4185849157714844,True,REGULAR,USD
AAPL260626C00270000,2026-06-10 18:02:34+00:00,270.0,25.41,22.85,23.75,2.209999,9.525858,21.0,286,0.38086556640624997,True,REGULAR,USD
AAPL260626C00275000,2026-06-10 15:33:31+00:00,275.0,19.35,18.35,19.2,0.80999947,4.368929,10.0,254,0.34632001342773433,True,REGULAR,USD
AAPL260626C00280000,2026-06-10 19:58:34+00:00,280.0,15.0,14.35,14.9,0.34000015,2.319237,172.0,377,0.3161079132080078,True,REGULAR,USD
AAPL260626C00285000,2026-06-10 19:21:39+00:00,285.0,11.25,10.6,11.05,0.6999998,6.6350694,383.0,361,0.29383030395507803,True,REGULAR,USD
AAPL260626C00290000,2026-06-10 19:53:34+00:00,290.0,7.64,7.45,7.8,0.03999996,0.5263153,670.0,841,0.27887684020996095,True,REGULAR,USD
AAPL260626C00292500,2026-06-10 19:32:23+00:00,292.5,6.34,6.1,6.4,0.53999996,9.310344,530.0,282,0.27246821289062495,False,REGULAR,USD
AAPL260626C00295000,2026-06-10 19:59:00+00:00,295.0,5.3,4.95,5.2,0.1500001,2.9126232,1476.0,2069,0.2682568292236328,False,REGULAR,USD
AAPL260626C00297500,2026-06-10 19:57:08+00:00,297.5,4.25,3.9,4.2,0.25,6.25,254.0,132,0.2662426892089844,False,REGULAR,USD
AAPL260626C00300000,2026-06-10 19:59:15+00:00,300.0,3.22,3.1,3.35,0.22000003,7.3333344,5293.0,2275,0.264655791015625,False,REGULAR,USD
AAPL260626C00302500,2026-06-10 18:27:55+00:00,302.5,2.62,2.27,2.64,0.28999996,12.446351,359.0,129,0.26355716918945316,False,REGULAR,USD
AAPL260626C00305000,2026-06-10 19:57:22+00:00,305.0,2.07,1.9,2.05,0.06999993,3.4999967,1031.0,1245,0.2624585473632813,False,REGULAR,USD
AAPL260626C00307500,2026-06-10 19:54:50+00:00,307.5,1.41,1.41,1.63,-0.03000009,-2.0833395,61.0,140,0.2651440673828125,False,REGULAR,USD
AAPL260626C00310000,2026-06-10 19:54:58+00:00,310.0,1.26,1.13,1.25,0.15999997,14.545451,2168.0,5449,0.2651440673828125,False,REGULAR,USD
AAPL260626C00312500,2026-06-10 19:23:35+00:00,312.5,0.95,0.83,0.97,0.14999998,18.749998,130.0,297,0.26697510375976563,False,REGULAR,USD
AAPL260626C00315000,2026-06-10 19:56:06+00:00,315.0,0.74,0.63,0.75,0.09000003,13.84616,769.0,2074,0.2690502783203125,False,REGULAR,USD
AAPL260626C00317500,2026-06-10 18:10:07+00:00,317.5,0.68,0.48,0.61,0.17000002,33.333336,690.0,376,0.27466545654296876,False,REGULAR,USD
AAPL260626C00320000,2026-06-10 19:49:12+00:00,320.0,0.41,0.37,0.47,-0.02000001,-4.651165,1164.0,13123,0.27686270019531245,False,REGULAR,USD
AAPL260626C00322500,2026-06-10 19:39:15+00:00,322.5,0.33,0.26,0.4,0.04000002,13.793111,11.0,62,0.2849192602539062,False,REGULAR,USD
AAPL260626C00325000,2026-06-10 19:40:23+00:00,325.0,0.25,0.22,0.32,-0.00999999,-3.8461504,201.0,3467,0.2893137475585937,False,REGULAR,USD
AAPL260626C00327500,2026-06-10 14:25:38+00:00,327.5,0.2,0.14,0.25,-0.019999996,-9.090907,2.0,389,0.29224340576171864,False,REGULAR,USD
AAPL260626C00330000,2026-06-10 19:57:49+00:00,330.0,0.19,0.15,0.22,0.03999999,26.666658,497.0,7751,0.3012765185546875,False,REGULAR,USD
AAPL260626C00332500,2026-06-09 16:38:15+00:00,332.5,0.1,0.07,0.2,-0.029999994,-23.076918,8.0,47,0.3110420458984374,False,REGULAR,USD
AAPL260626C00335000,2026-06-10 19:57:49+00:00,335.0,0.12,0.08,0.15,0.009999998,9.090907,107.0,1831,0.31153032226562494,False,REGULAR,USD
AAPL260626C00337500,2026-06-09 13:52:41+00:00,337.5,0.21,0.02,0.16,0.0,0.0,1.0,14,0.3286199951171874,False,REGULAR,USD
AAPL260626C00340000,2026-06-10 19:52:07+00:00,340.0,0.09,0.06,0.09,0.010000005,12.500007,46.0,2596,0.31592480957031244,False,REGULAR,USD
AAPL260626C00345000,2026-06-10 14:14:19+00:00,345.0,0.06,0.04,0.11,-0.010000002,-14.285716,1.0,335,0.3505924316406249,False,REGULAR,USD
AAPL260626C00350000,2026-06-10 19:56:42+00:00,350.0,0.05,0.03,0.05,0.030000001,150.0,126.0,1886,0.34180345703125,False,REGULAR,USD
AAPL260626C00355000,2026-06-09 19:45:03+00:00,355.0,0.02,0.02,0.15,0.0,0.0,29.0,215,0.41797457031249996,False,REGULAR,USD
AAPL260626C00360000,2026-06-10 14:50:19+00:00,360.0,0.05,0.0,0.15,0.0,0.0,1.0,190,0.44336494140625,False,REGULAR,USD
AAPL260626C00365000,2026-06-09 17:46:38+00:00,365.0,0.05,0.0,0.04,0.0,0.0,20.0,481,0.398443515625,False,REGULAR,USD
AAPL260626C00370000,2026-06-10 17:59:54+00:00,370.0,0.03,0.01,0.05,0.02,200.0,2.0,1075,0.42969320312500003,False,REGULAR,USD
AAPL260626C00375000,2026-06-09 15:21:07+00:00,375.0,0.06,0.0,0.14,0.0,0.0,5.0,6,0.5107470800781251,False,REGULAR,USD
AAPL260626C00380000,2026-06-05 17:05:34+00:00,380.0,0.04,0.0,0.4,0.0,0.0,14.0,16,0.559574716796875,False,REGULAR,USD
AAPL260626C00385000,2026-06-08 17:34:38+00:00,385.0,0.06,0.0,0.42,0.0,0.0,1.0,2,0.586918193359375,False,REGULAR,USD
AAPL260626C00390000,2026-06-08 18:19:24+00:00,390.0,0.03,0.0,0.43,0.0,0.0,6.0,8,0.6113320117187502,False,REGULAR,USD
AAPL260626C00395000,2026-06-08 14:08:25+00:00,395.0,0.21,0.0,0.44,0.0,0.0,1.0,27,0.6357458300781251,False,REGULAR,USD
AAPL260626C00400000,2026-06-10 18:00:33+00:00,400.0,0.01,0.0,0.02,-0.04,-80.00001,103.0,642,0.5039112109375,False,REGULAR,USD
